; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
; 
; File Generated 12-Apr-2019 - Updated 19-Jun-2020
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.420613e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
25.4	1.9026E-13	1.1142E-14	2.9547E-15
25.5	1.9329E-13	1.1147E-14	2.9807E-15
25.6	1.9405E-13	1.1019E-14	2.9712E-15
25.7	1.9499E-13	1.0903E-14	2.9645E-15
25.8	1.9706E-13	1.0849E-14	2.9747E-15
25.9	1.9982E-13	1.0832E-14	2.9951E-15
26	2.0355E-13	1.0863E-14	3.0292E-15
26.1	2.0815E-13	1.0937E-14	3.0756E-15
26.2	2.1345E-13	1.1042E-14	3.1314E-15
26.3	2.1901E-13	1.1146E-14	3.1890E-15
26.4	2.2265E-13	1.1148E-14	3.2177E-15
26.5	2.2391E-13	1.1028E-14	3.2116E-15
26.6	2.2648E-13	1.0973E-14	3.2241E-15
26.7	2.3128E-13	1.1019E-14	3.2672E-15
26.8	2.3603E-13	1.1057E-14	3.3085E-15
26.9	2.4118E-13	1.1110E-14	3.3547E-15
27	2.4630E-13	1.1156E-14	3.3995E-15
27.1	2.4837E-13	1.1060E-14	3.4014E-15
27.2	2.5076E-13	1.0978E-14	3.4075E-15
27.3	2.5627E-13	1.1030E-14	3.4552E-15
27.4	2.6330E-13	1.1141E-14	3.5223E-15
27.5	2.6702E-13	1.1107E-14	3.5442E-15
27.6	2.6845E-13	1.0977E-14	3.5352E-15
27.7	2.6851E-13	1.0793E-14	3.5083E-15
27.8	2.6596E-13	1.0509E-14	3.4478E-15
27.9	2.6414E-13	1.0274E-14	3.3995E-15
28	2.5854E-13	9.8991E-15	3.3036E-15
28.1	2.5314E-13	9.5407E-15	3.2113E-15
28.2	2.4898E-13	9.2364E-15	3.1356E-15
28.3	2.4693E-13	9.0545E-15	3.0933E-15
28.4	2.4712E-13	8.9597E-15	3.0797E-15
28.5	2.4881E-13	8.9199E-15	3.0849E-15
28.6	2.5091E-13	8.8940E-15	3.0948E-15
28.7	2.5437E-13	8.9155E-15	3.1214E-15
28.8	2.5797E-13	8.9398E-15	3.1492E-15
28.9	2.6501E-13	9.0804E-15	3.2184E-15
29	2.7282E-13	9.2428E-15	3.2962E-15
29.1	2.8248E-13	9.4627E-15	3.3953E-15
29.2	2.9237E-13	9.6837E-15	3.4961E-15
29.3	3.0132E-13	9.8678E-15	3.5845E-15
29.4	3.0290E-13	9.8078E-15	3.5847E-15
29.5	3.0570E-13	9.7870E-15	3.5991E-15
29.6	3.2052E-13	1.0146E-14	3.7542E-15
29.7	3.4025E-13	1.0650E-14	3.9648E-15
29.8	3.7492E-13	1.1602E-14	4.3461E-15
29.9	4.3564E-13	1.3330E-14	5.0239E-15
30	5.0803E-13	1.5369E-14	5.8285E-15
30.1	4.7605E-13	1.4240E-14	5.4334E-15
30.2	4.4409E-13	1.3134E-14	5.0424E-15
30.3	4.4294E-13	1.2952E-14	5.0034E-15
30.4	4.6971E-13	1.3585E-14	5.2793E-15
30.5	5.0395E-13	1.4425E-14	5.6374E-15
30.6	5.3157E-13	1.5059E-14	5.9183E-15
30.7	5.6654E-13	1.5884E-14	6.2779E-15
30.8	6.2531E-13	1.7351E-14	6.8964E-15
30.9	7.1813E-13	1.9761E-14	7.8903E-15
31	8.6532E-13	2.3624E-14	9.4732E-15
31.1	1.2633E-12	3.4216E-14	1.3780E-14
31.2	1.9542E-12	5.2513E-14	2.1241E-14
31.3	2.9127E-12	7.7655E-14	3.1546E-14
31.4	4.5284E-12	1.1978E-13	4.8869E-14
31.5	8.3734E-12	2.1975E-13	9.0039E-14
31.6	1.2569E-11	3.2726E-13	1.3467E-13
31.7	1.4960E-11	3.8646E-13	1.5972E-13
31.8	4.6712E-12	1.1973E-13	4.9694E-14
31.9	6.7102E-13	1.7064E-14	7.1131E-15
32	1.5163E-13	3.8258E-15	1.6016E-15
32.1	6.9565E-14	1.7415E-15	7.3218E-16
32.2	5.2308E-14	1.2992E-15	5.4859E-16
32.3	4.9574E-14	1.2217E-15	5.1807E-16
32.4	5.1928E-14	1.2698E-15	5.4075E-16
32.5	5.5883E-14	1.3558E-15	5.7987E-16
32.6	6.1185E-14	1.4729E-15	6.3264E-16
32.7	6.7078E-14	1.6018E-15	6.9104E-16
32.8	7.2839E-14	1.7219E-15	7.4695E-16
32.9	7.7400E-14	1.8114E-15	7.9008E-16
33	8.1937E-14	1.8982E-15	8.3255E-16
33.1	8.5878E-14	1.9695E-15	8.6858E-16
33.2	9.0298E-14	2.0471E-15	9.0847E-16
33.3	9.3276E-14	2.0807E-15	9.3151E-16
33.4	9.5674E-14	2.1000E-15	9.4841E-16
33.5	9.8120E-14	2.1191E-15	9.6547E-16
33.6	9.9985E-14	2.1246E-15	9.7654E-16
33.7	1.0121E-13	2.1159E-15	9.8114E-16
33.8	1.0152E-13	2.0882E-15	9.7686E-16
33.9	1.0226E-13	2.0695E-15	9.7668E-16
34	1.0291E-13	2.0489E-15	9.7554E-16
34.1	1.0323E-13	2.0221E-15	9.7135E-16
34.2	1.0300E-13	1.9848E-15	9.6194E-16
34.3	1.0332E-13	1.9586E-15	9.5771E-16
34.4	1.0345E-13	1.9291E-15	9.5168E-16
34.5	1.0322E-13	1.8934E-15	9.4246E-16
34.6	1.0283E-13	1.8554E-15	9.3183E-16
34.7	1.0241E-13	1.8177E-15	9.2106E-16
34.8	1.0178E-13	1.7769E-15	9.0846E-16
34.9	1.0095E-13	1.7335E-15	8.9428E-16
35	1.0008E-13	1.6904E-15	8.7988E-16
35.1	9.9355E-14	1.6506E-15	8.6692E-16
35.2	9.8047E-14	1.6020E-15	8.4903E-16
35.3	9.6815E-14	1.5558E-15	8.3199E-16
35.4	9.5946E-14	1.5164E-15	8.1827E-16
35.5	9.4567E-14	1.4698E-15	8.0036E-16
35.6	9.2977E-14	1.4212E-15	7.8092E-16
35.7	9.2719E-14	1.3937E-15	7.7280E-16
35.8	9.2775E-14	1.3795E-15	7.6946E-16
35.9	9.3455E-14	1.3760E-15	7.7160E-16
36	9.3501E-14	1.3630E-15	7.6851E-16
36.1	9.4167E-14	1.3592E-15	7.7050E-16
36.2	9.4040E-14	1.3440E-15	7.6600E-16
36.3	9.6717E-14	1.3882E-15	7.8943E-16
36.4	1.0113E-13	1.4743E-15	8.3144E-16
36.5	1.0577E-13	1.5660E-15	8.7589E-16
36.6	1.1132E-13	1.6736E-15	9.2846E-16
36.7	1.1615E-13	1.7731E-15	9.7570E-16
36.8	1.2115E-13	1.8776E-15	1.0249E-15
36.9	1.2698E-13	1.9979E-15	1.0819E-15
37	1.3201E-13	2.1083E-15	1.1325E-15
37.1	1.3859E-13	2.2464E-15	1.1972E-15
37.2	1.4462E-13	2.3790E-15	1.2580E-15
37.3	1.5095E-13	2.5199E-15	1.3221E-15
37.4	1.5872E-13	2.6883E-15	1.3996E-15
37.5	1.6587E-13	2.8505E-15	1.4726E-15
37.6	1.7417E-13	3.0363E-15	1.5567E-15
37.7	1.8210E-13	3.2203E-15	1.6385E-15
37.8	1.9084E-13	3.4230E-15	1.7285E-15
37.9	1.9907E-13	3.6186E-15	1.8143E-15
38	2.0664E-13	3.7913E-15	1.8915E-15
38.1	2.1412E-13	3.9653E-15	1.9686E-15
38.2	2.2193E-13	4.1478E-15	2.0492E-15
38.3	2.2890E-13	4.3176E-15	2.1228E-15
38.4	2.3666E-13	4.5049E-15	2.2042E-15
38.5	2.3991E-13	4.5748E-15	2.2365E-15
38.6	2.4019E-13	4.5587E-15	2.2344E-15
38.7	2.4071E-13	4.5472E-15	2.2345E-15
38.8	2.4021E-13	4.5165E-15	2.2252E-15
38.9	2.3967E-13	4.4852E-15	2.2156E-15
39	2.3838E-13	4.4404E-15	2.1991E-15
39.1	2.3712E-13	4.3963E-15	2.1829E-15
39.2	2.3583E-13	4.3519E-15	2.1665E-15
39.3	2.3475E-13	4.3119E-15	2.1521E-15
39.4	2.3405E-13	4.2790E-15	2.1412E-15
39.5	2.3507E-13	4.2779E-15	2.1462E-15
39.6	2.3494E-13	4.2557E-15	2.1406E-15
39.7	2.3320E-13	4.2102E-15	2.1216E-15
39.8	2.3232E-13	4.1803E-15	2.1105E-15
39.9	2.2912E-13	4.1088E-15	2.0783E-15
40	2.2400E-13	4.0037E-15	2.0290E-15
40.1	2.1849E-13	3.8923E-15	1.9762E-15
40.2	2.1110E-13	3.7512E-15	1.9073E-15
40.3	2.0898E-13	3.7224E-15	1.8903E-15
40.4	2.0767E-13	3.7080E-15	1.8808E-15
40.5	2.0850E-13	3.7317E-15	1.8905E-15
40.6	2.0942E-13	3.7571E-15	1.9011E-15
40.7	2.1051E-13	3.7858E-15	1.9133E-15
40.8	2.1290E-13	3.8378E-15	1.9372E-15
40.9	2.1510E-13	3.8867E-15	1.9596E-15
41	2.1902E-13	3.9670E-15	1.9977E-15
41.1	2.2220E-13	4.0340E-15	2.0290E-15
41.2	2.2653E-13	4.1222E-15	2.0710E-15
41.3	2.2590E-13	4.1205E-15	2.0676E-15
41.4	2.2388E-13	4.0932E-15	2.0515E-15
41.5	2.2136E-13	4.0563E-15	2.0308E-15
41.6	2.1549E-13	3.9579E-15	1.9792E-15
41.7	2.0626E-13	3.7971E-15	1.8966E-15
41.8	1.9487E-13	3.5956E-15	1.7938E-15
41.9	1.8529E-13	3.4267E-15	1.7077E-15
42	1.8132E-13	3.3609E-15	1.6729E-15
42.1	1.7735E-13	3.2703E-15	1.6326E-15
42.2	1.7454E-13	3.2009E-15	1.6027E-15
42.3	1.7286E-13	3.1527E-15	1.5834E-15
42.4	1.7026E-13	3.0883E-15	1.5558E-15
42.5	1.6807E-13	3.0320E-15	1.5321E-15
